id,nid,did,ord,mod,usn,type,queue,due,ivl,factor,reps,lapses,left,odue,odid,flags,data
1618050252693,1618050158793,1618052797883,0,1619195776,-1,0,0,82,0,2500,0,0,1001,0,0,0,
1618050252695,1618050158793,1618052797883,1,1619195776,-1,0,0,82,0,2500,0,0,1001,0,0,0,
1618050278650,1618050252828,1618052797883,0,1619195776,-1,0,0,83,0,2500,0,0,1001,0,0,0,
1618050278651,1618050252828,1618052797883,1,1619195776,-1,0,0,83,0,2500,0,0,1001,0,0,0,
1618050303098,1618050278669,1618052797883,0,1619195776,-1,0,0,84,0,2500,0,0,1001,0,0,0,
1618050303099,1618050278669,1618052797883,1,1619195776,-1,0,0,84,0,2500,0,0,1001,0,0,0,
1618050332535,1618050303113,1618052797883,0,1619195776,-1,0,0,85,0,2500,0,0,1001,0,0,0,
1618050332536,1618050303113,1618052797883,1,1619195776,-1,0,0,85,0,2500,0,0,1001,0,0,0,
1618050384598,1618050332552,1618052797883,0,1619195776,-1,0,0,86,0,2500,0,0,1001,0,0,0,
1618050384600,1618050332552,1618052797883,1,1619195776,-1,0,0,86,0,2500,0,0,1001,0,0,0,
1618050404758,1618050384617,1618052797883,0,1619195776,-1,0,0,87,0,2500,0,0,1001,0,0,0,
1618050404759,1618050384617,1618052797883,1,1619195776,-1,0,0,87,0,2500,0,0,1001,0,0,0,
1618050426110,1618050404777,1618052797883,0,1619195776,-1,0,0,88,0,2500,0,0,1001,0,0,0,
1618050426111,1618050404777,1618052797883,1,1619195776,-1,0,0,88,0,2500,0,0,1001,0,0,0,
1618050454711,1618050426128,1618052797883,0,1619195776,-1,0,0,89,0,2500,0,0,1001,0,0,0,
1618050454712,1618050426128,1618052797883,1,1619195776,-1,0,0,89,0,2500,0,0,1001,0,0,0,
1618050491480,1618050454729,1618052797883,0,1619195776,-1,0,0,90,0,2500,0,0,1001,0,0,0,
1618050491481,1618050454729,1618052797883,1,1619195776,-1,0,0,90,0,2500,0,0,1001,0,0,0,
1618050513581,1618050491497,1618052797883,0,1619195776,-1,0,0,91,0,2500,0,0,1001,0,0,0,
1618050513582,1618050491497,1618052797883,1,1619195776,-1,0,0,91,0,2500,0,0,1001,0,0,0,
1618050540181,1618050513600,1618052797883,0,1619195776,-1,0,0,92,0,2500,0,0,1001,0,0,0,
1618050540182,1618050513600,1618052797883,1,1619195776,-1,0,0,92,0,2500,0,0,1001,0,0,0,
1618050564217,1618050540198,1618052797883,0,1619195776,-1,0,0,93,0,2500,0,0,1001,0,0,0,
1618050564218,1618050540198,1618052797883,1,1619195776,-1,0,0,93,0,2500,0,0,1001,0,0,0,
1618050586821,1618050564321,1618052797883,0,1619195776,-1,0,0,94,0,2500,0,0,1001,0,0,0,
1618050586822,1618050564321,1618052797883,1,1619195776,-1,0,0,94,0,2500,0,0,1001,0,0,0,
1618050606519,1618050586840,1618052797883,0,1619195776,-1,0,0,95,0,2500,0,0,1001,0,0,0,
1618050606520,1618050586840,1618052797883,1,1619195776,-1,0,0,95,0,2500,0,0,1001,0,0,0,
